,Model,ATE,95% CI,Notes
0,Matching,0.3731,"(0.2793, 0.4813)",
1,S-learner,0.0288,"(0.003, 0.0521)",
2,T-Learner,0.0726,"(-0.0206, 0.1292)",
3,X-Learner,-0.0134,"(-0.0574, 0.0187)",
4,Doubly Robust Learner,0.0203,"(0.0848, -0.0248)",
5,Linear DML,0.0225,"(0.0125, 0.0325)",
6,Non-linear DML,0.0188,"(0.001, 0.04)",
